initial_mrna;mean_output;std_output;min_output;max_output;mean_length;std_length;min_length;max_length;time_s
10;10,0;0,0;10;10;1100,0;0,0;1100;1100;1,855412483215332
20;20,0;0,0;20;20;2200,0;0,0;2200;2200;4,071005821228027
30;30,0;0,0;30;30;3300,0;0,0;3300;3300;6,7502760887146
40;40,0;0,0;40;40;4400,0;0,0;4400;4400;9,290338277816772
50;50,0;0,0;50;50;5500,0;0,0;5500;5500;12,43614673614502
60;60,0;0,0;60;60;6600,0;0,0;6600;6600;15,096469163894653
70;70,0;0,0;70;70;7700,0;0,0;7700;7700;18,599047422409058
80;80,0;0,0;80;80;8800,0;0,0;8800;8800;21,578980207443237
90;90,0;0,0;90;90;9900,0;0,0;9900;9900;25,486793279647827
100;100,0;0,0;100;100;11000,0;0,0;11000;11000;28,989704608917236
110;90,1;0,36237153766973895;90;92;9990,2;36,96189684231339;9980;10184;27,84518575668335
120;80,98;1,2058778603745142;80;84;9059,96;122,99954175820037;8960;9368;23,003330945968628
130;74,22;2,7250428594535143;70;81;8370,44;277,9543716642585;7940;9062;21,074411392211914
140;68,55;3,4999999999999996;61;78;7792,1;357,0000000000001;7022;8756;18,83676791191101
150;64,82;3,988316269638942;57;80;7411,64;406,8082595031717;6614;8960;18,389747619628906
160;61,4;4,005047320619826;53;71;7062,8;408,51482670322224;6206;8042;16,76408576965332
170;58,57;4,204987418758729;50;70;6774,14;428,90871671339033;5900;7940;16,348710775375366
180;56,27;4,1117103030444175;46;66;6539,54;419,3944509105306;5492;7532;15,276336908340454
190;53,83;4,252283997091351;41;65;6290,66;433,73296770331774;4982;7430;15,431857585906982
200;51,7;5,17081944544322;41;63;6073,4;527,4235834352085;4982;7226;14,218307733535767
210;49,36;4,302970550161313;38;61;5834,72;438,90299611645395;4676;7022;14,064075231552124
220;47,65;4,144791059787323;39;59;5660,3;422,768688098307;4778;6818;13,014764547348022
230;46,17;4,082618985134148;38;56;5509,34;416,427136483683;4676;6512;12,46273946762085
240;45,82;4,416177788838021;36;59;5473,64;450,45013446147794;4472;6818;12,380588293075562
250;43,85;4,207676966515544;34;54;5272,7;429,18305058458543;4268;6308;11,845707654953003
260;42,3;5,522223238420327;28;55;5114,6;563,2667703188735;3656;6410;11,42801570892334
270;40,99;4,193537596797907;33;51;4980,98;427,7408348733868;4166;6002;11,185809135437012
280;40,0;4,7545831159062315;30;51;4880,0;484,96747782243557;3860;6002;10,92428207397461
290;39,07;5,043758018530919;26;52;4785,14;514,4633178901538;3452;6104;10,335719108581543
300;38,38;4,741350444799882;30;50;4714,76;483,6177453695879;3860;5900;10,35107684135437
310;37,17;4,38329012537755;27;48;4591,34;447,09559278850975;3554;5696;9,813725709915161
320;36,53;4,1910317911878785;27;48;4526,06;427,48524270116354;3554;5696;9,77065396308899
330;34,72;4,3971524302609195;26;54;4341,44;448,50954788661346;3452;6308;9,140787363052368
340;35,11;4,8385969249380745;24;50;4381,22;493,53688634368376;3248;5900;9,409610271453857
350;33,45;4,384027482771631;25;46;4211,9;447,1708032427065;3350;5492;8,871814489364624
360;33,66;4,154150899638781;22;44;4233,32;423,72339176315586;3044;5288;9,110214471817017
370;31,56;4,989524379673231;18;45;4019,12;508,9314867266697;2636;5390;8,370841026306152
380;31,3;3,9555612302762615;21;44;3992,6;403,46724548817855;2942;5288;8,383844137191772
390;31,27;5,082858894899066;19;46;3989,54;518,4516072797047;2738;5492;8,246175050735474
400;30,2;4,394670785523225;20;43;3880,4;448,2564201233689;2840;5186;8,102119445800781
